date,category,name,price,source,price_clean
2025-02-26,acucar,Açúcar Refinado União 1kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99
2025-02-26,acucar,Açúcar Refinado Carrefour 1kg,"R$ 5,09",https://mercado.carrefour.com.br/busca/acucar,5.09
2025-02-26,acucar,Açúcar Demerara Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99
2025-02-26,acucar,Açúcar Demerara Orgânico Native 1Kg,"R$ 10,39",https://mercado.carrefour.com.br/busca/acucar,10.39
2025-02-26,acucar,Açúcar Refinado Da Barra 1Kg,"R$ 4,59",https://mercado.carrefour.com.br/busca/acucar,4.59
2025-02-26,acucar,Açúcar Demerara União Naturale 1kg,"R$ 8,19",https://mercado.carrefour.com.br/busca/acucar,8.19
2025-02-26,acucar,Açúcar Cristal Carrefour 1 kg,"R$ 4,99",https://mercado.carrefour.com.br/busca/acucar,4.99
2025-02-26,acucar,Açúcar Refinado União Doçúcar 1Kg,"R$ 7,29",https://mercado.carrefour.com.br/busca/acucar,7.29
2025-02-26,acucar,Açúcar Cristal Orgânico Carrefour Bio 1 Kg,"R$ 8,99",https://mercado.carrefour.com.br/busca/acucar,8.99
2025-02-26,acucar,Açúcar Demerara Orgânico Itajá 1Kg,"R$ 7,49",https://mercado.carrefour.com.br/busca/acucar,7.49
2025-02-26,acucar,Açúcar Mascavo Orgânico Carrefour Bio 400 g,"R$ 16,09",https://mercado.carrefour.com.br/busca/acucar,16.09
2025-02-26,arroz,Arroz Agulhinha Tipo 1 Fantástico 100% Nobres 5 kg,"R$ 29,99",https://mercado.carrefour.com.br/busca/arroz,29.99
2025-02-26,arroz,Arroz Branco Prato Fino Tipo 1 - 5kg,"R$ 36,09",https://mercado.carrefour.com.br/busca/arroz,36.09
2025-02-26,arroz,Arroz Branco Carrefour Classic Olimpíadas 5Kg,"R$ 25,99",https://mercado.carrefour.com.br/busca/arroz,25.99
2025-02-26,arroz,Arroz Branco Longo-fino Tipo 1 Tio João 1 Kg,"R$ 7,59",https://mercado.carrefour.com.br/busca/arroz,7.59
2025-02-26,arroz,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg,"R$ 29,99",https://mercado.carrefour.com.br/busca/arroz,29.99
2025-02-26,arroz,Arroz Branco Longo-fino Tipo 1 Tio João 5 Kg,"R$ 36,09",https://mercado.carrefour.com.br/busca/arroz,36.09
2025-02-26,arroz,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 1Kg,"R$ 6,99",https://mercado.carrefour.com.br/busca/arroz,6.99
2025-02-26,arroz,Arroz Branco Tipo 1 Saboroso 5Kg,"R$ 27,55",https://mercado.carrefour.com.br/busca/arroz,27.55
2025-02-26,arroz,Arroz Branco Carrefour Classic Olimpíadas 1Kg,"R$ 4,29",https://mercado.carrefour.com.br/busca/arroz,4.29
2025-02-26,arroz,Arroz Tipo 1 Biju 5 Kg,"R$ 30,89",https://mercado.carrefour.com.br/busca/arroz,30.89
2025-02-26,arroz,Arroz Branco Longo-fino Tipo 1 Tio João 2Kg,"R$ 15,19",https://mercado.carrefour.com.br/busca/arroz,15.19
2025-02-26,arroz,Arroz Integral Longo-fino Tipo 1 Tio João 1 Kg,"R$ 8,78",https://mercado.carrefour.com.br/busca/arroz,8.78
2025-02-26,arroz,Arroz Tipo 1 Prato Fino 2 Kg,"R$ 13,99",https://mercado.carrefour.com.br/busca/arroz,13.99
2025-02-26,arroz,Arroz Parboilizado Longo Fino Tipo 1 Carrefour 1Kg,"R$ 5,29",https://mercado.carrefour.com.br/busca/arroz,5.29
2025-02-26,farinha,Cereal Neston 3 Cereais 210g,"R$ 8,69",https://mercado.carrefour.com.br/busca/farinha,8.69
2025-02-26,farinha,"NESTON Vitamina - Pó para preparo instantâneo Morango, Pera e Banana 400g","R$ 12,99",https://mercado.carrefour.com.br/busca/farinha,12.99
2025-02-26,farinha,Cereal Neston 3 Cereais 360g,"R$ 19,59",https://mercado.carrefour.com.br/busca/farinha,19.59
2025-02-26,farinha,Farinha Láctea Nestle Tradicional 360g,"R$ 18,89",https://mercado.carrefour.com.br/busca/farinha,18.89
2025-02-26,farinha,Farinha de Aveia Integral Carrefour Viver 170 g,"R$ 3,49",https://mercado.carrefour.com.br/busca/farinha,3.49
2025-02-26,farinha,Farinha de Aveia Integral Quaker 165g,"R$ 5,39",https://mercado.carrefour.com.br/busca/farinha,5.39
2025-02-26,farinha,Farinha de Aveia Vitalin 200g,"R$ 15,09",https://mercado.carrefour.com.br/busca/farinha,15.09
2025-02-26,farinha,Farinha de Linhaça Marrom Integral Vitalin 150 g,"R$ 10,29",https://mercado.carrefour.com.br/busca/farinha,10.29
2025-02-26,farinha,Mix de Farinhas Multiuso Integral sem Glúten Vitalin 500g,"R$ 23,09",https://mercado.carrefour.com.br/busca/farinha,23.09
2025-02-26,farinha,Farofa de Mandioca Tradicional Yoki 400g,"R$ 3,99",https://mercado.carrefour.com.br/busca/farinha,3.99
2025-02-26,farinha,Goma de Tapioca Tradicional da Terrinha 500g,"R$ 7,29",https://mercado.carrefour.com.br/busca/farinha,7.29
